ID,Des,Res,Fare
100,Train10:Brussels->Rotterdam,20,250
101,Train1:Brussels->Schiphol,11;21,175
102,Train2:Brussels->Schiphol,12;22,175
103,Train3:Brussels->Schiphol,13;23,175
104,Train4:Brussels->Schiphol,14;24,175
105,Train5:Brussels->Schiphol,15;25,175
106,Train6:Brussels->Schiphol,16;26,175
107,Train7:Brussels->Schiphol,17;27,175
108,Train8:Brussels->Schiphol,18;28,175
109,Train9:Brussels->Schiphol,19;29,175
110,Train10:Brussels->Schiphol,20;30,175
111,Train1:Brussels->Schiphol,11;21,275
112,Train2:Brussels->Schiphol,12;22,275
113,Train3:Brussels->Schiphol,13;23,275
114,Train4:Brussels->Schiphol,14;24,275
115,Train5:Brussels->Schiphol,15;25,275
116,Train6:Brussels->Schiphol,16;26,275
117,Train7:Brussels->Schiphol,17;27,275
118,Train8:Brussels->Schiphol,18;28,275
119,Train9:Brussels->Schiphol,19;29,275
120,Train10:Brussels->Schiphol,20;30,275
121,Train1:Brussels->Amsterdam,11;21;31,200
122,Train2:Brussels->Amsterdam,12;22;32,200
123,Train3:Brussels->Amsterdam,13;23;33,200
124,Train4:Brussels->Amsterdam,14;24;34,200
125,Train5:Brussels->Amsterdam,15;25;35,200
126,Train6:Brussels->Amsterdam,16;26;36,200
127,Train7:Brussels->Amsterdam,17;27;37,200
128,Train8:Brussels->Amsterdam,18;28;38,200
129,Train9:Brussels->Amsterdam,19;29;39,200
130,Train10:Brussels->Amsterdam,20;30;40,200
131,Train1:Brussels->Amsterdam,11;21;31,300
132,Train2:Brussels->Amsterdam,12;22;32,300
133,Train3:Brussels->Amsterdam,13;23;33,300
134,Train4:Brussels->Amsterdam,14;24;34,300
135,Train5:Brussels->Amsterdam,15;25;35,300
136,Train6:Brussels->Amsterdam,16;26;36,300
137,Train7:Brussels->Amsterdam,17;27;37,300
138,Train8:Brussels->Amsterdam,18;28;38,300
139,Train9:Brussels->Amsterdam,19;29;39,300
140,Train10:Brussels->Amsterdam,20;30;40,300
141,Train1:Rotterdam->Schiphol,21,50
142,Train2:Rotterdam->Schiphol,22,50
143,Train3:Rotterdam->Schiphol,23,50
144,Train4:Rotterdam->Schiphol,24,50
145,Train5:Rotterdam->Schiphol,25,50
146,Train6:Rotterdam->Schiphol,26,50
147,Train7:Rotterdam->Schiphol,27,50
148,Train8:Rotterdam->Schiphol,28,50
149,Train9:Rotterdam->Schiphol,29,50
150,Train10:Rotterdam->Schiphol,30,50
151,Train1:Rotterdam->Schiphol,21,100
152,Train2:Rotterdam->Schiphol,22,100
153,Train3:Rotterdam->Schiphol,23,100
154,Train4:Rotterdam->Schiphol,24,100
155,Train5:Rotterdam->Schiphol,25,100
156,Train6:Rotterdam->Schiphol,26,100
157,Train7:Rotterdam->Schiphol,27,100
158,Train8:Rotterdam->Schiphol,28,100
159,Train9:Rotterdam->Schiphol,29,100
160,Train10:Rotterdam->Schiphol,30,100
161,Train1:Rotterdam->Amsterdam,21;31,175
162,Train2:Rotterdam->Amsterdam,22;32,175
163,Train3:Rotterdam->Amsterdam,23;33,175
164,Train4:Rotterdam->Amsterdam,24;34,175
165,Train5:Rotterdam->Amsterdam,25;35,175
166,Train6:Rotterdam->Amsterdam,26;36,175
167,Train7:Rotterdam->Amsterdam,27;37,175
168,Train8:Rotterdam->Amsterdam,28;38,175
169,Train9:Rotterdam->Amsterdam,29;39,175
170,Train10:Rotterdam->Amsterdam,30;40,175
171,Train1:Rotterdam->Amsterdam,21;31,300
172,Train2:Rotterdam->Amsterdam,22;32,300
173,Train3:Rotterdam->Amsterdam,23;33,300
174,Train4:Rotterdam->Amsterdam,24;34,300
175,Train5:Rotterdam->Amsterdam,25;35,300
176,Train6:Rotterdam->Amsterdam,26;36,300
177,Train7:Rotterdam->Amsterdam,27;37,300
178,Train8:Rotterdam->Amsterdam,28;38,300
179,Train9:Rotterdam->Amsterdam,29;39,300
180,Train10:Rotterdam->Amsterdam,30;40,300
181,Train1:Schiphol->Amsterdam,31,50
182,Train2:Schiphol->Amsterdam,32,50
183,Train3:Schiphol->Amsterdam,33,50
184,Train4:Schiphol->Amsterdam,34,50
185,Train5:Schiphol->Amsterdam,35,50
186,Train6:Schiphol->Amsterdam,36,50
187,Train7:Schiphol->Amsterdam,37,50
188,Train8:Schiphol->Amsterdam,38,50
189,Train9:Schiphol->Amsterdam,39,50
190,Train10:Schiphol->Amsterdam,40,50
191,Train1:Schiphol->Amsterdam,31,100
192,Train2:Schiphol->Amsterdam,32,100
193,Train3:Schiphol->Amsterdam,33,100
194,Train4:Schiphol->Amsterdam,34,100
195,Train5:Schiphol->Amsterdam,35,100
196,Train6:Schiphol->Amsterdam,36,100
197,Train7:Schiphol->Amsterdam,37,100
198,Train8:Schiphol->Amsterdam,38,100
199,Train9:Schiphol->Amsterdam,39,100
200,Train10:Schiphol->Amsterdam,40,100
